 k  	Recursive 	Iterative
----- 	--------- 	---------
0	11		1
1	13		2
2	9		3
3	11		4
4	13		5
5	7		6
6	11		7
7	13		8
8	9		9
9	11		10
10	13		11
11	5		12
12	11		13
13	13		14
14	9		15
15	11		16
16	13		17
17	7		18
18	11		19
19	13		20
20	9		21
21	13		22
22	11		23
23	13		24
24	3		25
25	11		26
26	13		27
27	9		28
28	11		29
29	13		30
30	7		31
31	11		32
32	13		33
33	9		34
34	11		35
35	13		36
36	5		37
37	11		38
38	13		39
39	9		40
40	11		41
41	13		42
42	7		43
43	11		44
44	13		45
45	9		46
46	13		47
47	11		48
48	13		49
49	1		50
50	11		51
51	13		52
52	9		53
53	11		54
54	13		55
55	7		56
56	11		57
57	13		58
58	9		59
59	11		60
60	13		61
61	5		62
62	11		63
63	13		64
64	9		65
65	11		66
66	13		67
67	7		68
68	11		69
69	13		70
70	9		71
71	13		72
72	11		73
73	13		74
74	3		75
75	11		76
76	13		77
77	9		78
78	11		79
79	13		80
80	7		81
81	11		82
82	13		83
83	9		84
84	13		85
85	11		86
86	13		87
87	5		88
88	11		89
89	13		90
90	9		91
91	11		92
92	13		93
93	7		94
94	11		95
95	13		96
96	9		97
97	13		98
98	11		99
99	13		100
----- 	--------- 	---------
Total	1060		5050
